Line Name,Measurement Type,Time,Value,Units,,,,
WT-G-R1,PD630_LPD04050,14,571,counts,,,,
WT-G-R1,PD630_LPD02144,14,74,counts,,,,
WT-G-R1,PD630_LPD05300,14,4653,counts,,,,
WT-G-R1,PD630_LPD05301,14,7306,counts,,,,
WT-G-R1,PD630_LPD02148,14,174,counts,,,,
WT-G-R1,PD630_LPD01095,14,50,counts,,,,
WT-G-R1,PD630_LPD05377,14,1392,counts,,,,
WT-G-R1,PD630_LPD07901,14,515,counts,,,,
WT-G-R1,PD630_LPD06488,14,214,counts,,,,
WT-G-R1,PD630_LPD04600,14,13,counts,,,,
WT-G-R1,PD630_LPD10081,14,32,counts,,,,
WT-G-R1,PD630_LPD04064,14,175,counts,,,,
WT-G-R1,PD630_LPD15015,14,172,counts,,,,
WT-G-R1,PD630_LPD10079,14,20,counts,,,,
WT-G-R1,PD630_LPD04065,14,745,counts,,,,
WT-G-R1,PD630_LPD04432,14,4846,counts,,,,
WT-G-R1,PD630_LPD04287,14,872,counts,,,,
WT-G-R1,PD630_LPD00861,14,28,counts,,,,
WT-G-R1,PD630_LPD05055,14,93,counts,,,,
WT-G-R1,PD630_LPD04286,14,54,counts,,,,
WT-G-R1,PD630_LPD05213,14,68,counts,,,,
WT-G-R1,PD630_LPD03181,14,61,counts,,,,
WT-G-R1,PD630_LPD04836,14,4,counts,,,,
WT-G-R1,PD630_LPD00410,14,330,counts,,,,
WT-G-R1,PD630_LPD01448,14,1765,counts,,,,
WT-G-R1,PD630_LPD02383,14,28,counts,,,,
WT-G-R1,PD630_LPD03807,14,96,counts,,,,
WT-G-R1,PD630_LPD04249,14,112,counts,,,,
WT-G-R1,PD630_LPD06276,14,136,counts,,,,
WT-G-R1,PD630_LPD02172,14,5330,counts,,,,
WT-G-R1,PD630_LPD06874,14,32,counts,,,,
WT-G-R1,PD630_LPD07271,14,34,counts,,,,
WT-G-R1,PD630_LPD02143,14,60,counts,,,,
WT-G-R1,PD630_LPD00403,14,43,counts,,,,
WT-G-R1,PD630_LPD09129,14,10,counts,,,,
WT-G-R1,PD630_LPD01093,14,111,counts,,,,
WT-G-R1,PD630_LPD05771,14,2164,counts,,,,
WT-G-R1,PD630_LPD01348,14,26,counts,,,,
WT-G-R1,PD630_LPD06436,14,511,counts,,,,
WT-G-R1,PD630_LPD05295,14,79,counts,,,,
WT-G-R1,PD630_LPD07742,14,1347,counts,,,,
WT-G-R1,PD630_LPD01236,14,169,counts,,,,
WT-G-R1,PD630_LPD00444,14,37,counts,,,,
WT-G-R1,PD630_LPD00447,14,76,counts,,,,
WT-G-R1,PD630_LPD09128,14,148,counts,,,,
WT-G-R1,PD630_LPD01981,14,387,counts,,,,
WT-G-R1,PD630_LPD05098,14,1445,counts,,,,
WT-G-R1,PD630_LPD04046,14,287,counts,,,,
WT-G-R1,PD630_LPD04047,14,1788,counts,,,,
WT-G-R1,PD630_LPD06644,14,3,counts,,,,
WT-G-R1,PD630_LPD08017,14,34,counts,,,,
WT-G-R1,PD630_LPD04055,14,342,counts,,,,
WT-G-R1,PD630_LPD05266,14,1395,counts,,,,
WT-G-R1,PD630_LPD07272,14,62,counts,,,,
WT-G-R1,PD630_LPD06173,14,57,counts,,,,
WT-G-R1,PD630_LPD01008,14,21,counts,,,,
WT-G-R1,PD630_LPD02169,14,29,counts,,,,
WT-G-R1,PD630_LPD04747,14,19,counts,,,,
WT-G-R1,PD630_LPD06288,14,647,counts,,,,
WT-G-R1,PD630_LPD03924,14,2638,counts,,,,
WT-G-R1,PD630_LPD07371,14,65,counts,,,,
WT-G-R1,PD630_LPD03514,14,107,counts,,,,
WT-G-R1,PD630_LPD06627,14,476,counts,,,,
WT-G-R1,PD630_LPD05526,14,21,counts,,,,
WT-G-R1,PD630_LPD05308,14,4,counts,,,,
WT-G-R1,PD630_LPD01092,14,29,counts,,,,
WT-G-R1,PD630_LPD01450,14,250,counts,,,,
WT-G-R1,PD630_LPD07902,14,274,counts,,,,
WT-G-R1,PD630_LPD06516,14,1,counts,,,,
WT-G-R1,PD630_LPD03275,14,50,counts,,,,
WT-G-R1,PD630_LPD06645,14,3,counts,,,,
WT-G-R1,PD630_LPD05232,14,237,counts,,,,
WT-G-R1,PD630_LPD04971,14,349,counts,,,,
WT-G-R1,PD630_LPD04288,14,1752,counts,,,,
